User Library,User Age,Number of Users
Toledo Kiosk,15,1
Toledo Kiosk,16,1
Toledo Kiosk,17,3
Toledo Kiosk,18,2
Toledo Kiosk,20,1
Toledo Kiosk,21,2
Toledo Kiosk,22,3
Toledo Kiosk,25,1
Toledo Kiosk,26,2
Toledo Kiosk,27,2
Toledo Kiosk,28,1
Toledo Kiosk,29,3
Toledo Kiosk,30,2
Toledo Kiosk,32,1
Toledo Kiosk,33,2
Toledo Kiosk,34,1
Toledo Kiosk,35,1
Toledo Kiosk,36,2
Toledo Kiosk,38,3
Toledo Kiosk,39,1
Toledo Kiosk,40,2
Toledo Kiosk,41,4
Toledo Kiosk,43,2
Toledo Kiosk,44,2
Toledo Kiosk,46,3
Toledo Kiosk,47,2
Toledo Kiosk,48,2
Toledo Kiosk,51,2
Toledo Kiosk,52,1
Toledo Kiosk,53,1
Toledo Kiosk,55,1
Toledo Kiosk,56,2
Toledo Kiosk,57,2
Toledo Kiosk,58,1
Toledo Kiosk,59,3
Toledo Kiosk,60,4
Toledo Kiosk,61,1
Toledo Kiosk,62,5
Toledo Kiosk,64,1
Toledo Kiosk,65,1
Toledo Kiosk,66,2
Toledo Kiosk,67,1
Toledo Kiosk,68,3
Toledo Kiosk,69,2
Toledo Kiosk,71,1
Toledo Kiosk,72,3
Toledo Kiosk,73,2
Toledo Kiosk,75,2
Toledo Kiosk,76,1
Toledo Kiosk,77,1
Toledo Kiosk,79,2
Toledo Kiosk,87,1
Toledo Kiosk,91,1
Tumwater,2,12
Tumwater,3,46
Tumwater,4,62
Tumwater,5,293
Tumwater,6,317
Tumwater,7,163
Tumwater,8,170
Tumwater,9,170
Tumwater,10,221
Tumwater,11,228
Tumwater,12,224
Tumwater,13,253
Tumwater,14,272
Tumwater,15,296
Tumwater,16,390
Tumwater,17,385
Tumwater,18,285
Tumwater,19,134
Tumwater,20,93
Tumwater,21,81
Tumwater,22,68
Tumwater,23,90
Tumwater,24,79
Tumwater,25,84
Tumwater,26,100
Tumwater,27,97
Tumwater,28,114
Tumwater,29,125
Tumwater,30,132
Tumwater,31,143
Tumwater,32,145
Tumwater,33,170
Tumwater,34,177
Tumwater,35,165
Tumwater,36,176
Tumwater,37,184
Tumwater,38,188
Tumwater,39,180
Tumwater,40,184
Tumwater,41,156
Tumwater,42,185
Tumwater,43,163
Tumwater,44,160
Tumwater,45,168
Tumwater,46,162
Tumwater,47,128
Tumwater,48,133
Tumwater,49,127
Tumwater,50,134
Tumwater,51,160
Tumwater,52,123
Tumwater,53,129
Tumwater,54,123
Tumwater,55,102
Tumwater,56,102
Tumwater,57,121
Tumwater,58,120
Tumwater,59,135
Tumwater,60,107
Tumwater,61,130
Tumwater,62,134
Tumwater,63,144
Tumwater,64,133
Tumwater,65,119
Tumwater,66,152
Tumwater,67,137
Tumwater,68,159
Tumwater,69,154
Tumwater,70,146
Tumwater,71,157
Tumwater,72,143
Tumwater,73,117
Tumwater,74,112
Tumwater,75,97
Tumwater,76,71
Tumwater,77,72
Tumwater,78,73
Tumwater,79,55
Tumwater,80,43
Tumwater,81,32
Tumwater,82,45
Tumwater,83,24
Tumwater,84,21
Tumwater,85,22
Tumwater,86,23
Tumwater,87,10
Tumwater,88,9
Tumwater,89,6
Tumwater,90,7
Tumwater,91,6
Tumwater,92,2
Tumwater,93,2
Tumwater,94,4
Tumwater,95,2
Tumwater,96,1
Tumwater,97,1
Tumwater,100,1
Tumwater,107,1
Tumwater,108,1
Tumwater,120,1
Westport,3,1
Westport,4,1
Westport,6,3
Westport,7,5
Westport,8,4
Westport,9,3
Westport,10,6
Westport,11,6
Westport,12,6
Westport,13,7
Westport,14,5
Westport,15,7
Westport,16,11
Westport,17,7
Westport,18,5
Westport,19,12
Westport,20,5
Westport,21,5
Westport,22,6
Westport,23,10
Westport,24,11
Westport,25,7
Westport,26,9
Westport,27,15
Westport,28,8
Westport,29,14
Westport,30,11
Westport,31,9
Westport,32,10
Westport,33,14
Westport,34,10
Westport,35,15
Westport,36,9
Westport,37,8
Westport,38,15
Westport,39,18
Westport,40,11
Westport,41,15
Westport,42,13
Westport,43,9
Westport,44,14
Westport,45,11
Westport,46,12
Westport,47,12
Westport,48,7
Westport,49,19
Westport,50,18
Westport,51,19
Westport,52,10
Westport,53,13
Westport,54,24
Westport,55,16
Westport,56,19
Westport,57,9
Westport,58,17
Westport,59,19
Westport,60,17
Westport,61,27
Westport,62,17
Westport,63,28
Westport,64,24
Westport,65,19
Westport,66,14
Westport,67,25
Westport,68,28
Westport,69,23
Westport,70,26
Westport,71,21
Westport,72,22
Westport,73,21
Westport,74,17
Westport,75,12
Westport,76,11
Westport,77,9
Westport,78,11
Westport,79,12
Westport,80,5
Westport,81,6
Westport,82,4
Westport,83,4
Westport,84,4
Westport,86,3
Westport,87,3
Westport,88,1
Westport,89,4
Westport,90,4
Westport,94,1
Westport,106,1
Winlock,3,6
Winlock,4,28
Winlock,5,44
Winlock,6,29
Winlock,7,19
Winlock,8,21
Winlock,9,15
Winlock,10,24
Winlock,11,14
Winlock,12,19
Winlock,13,19
Winlock,14,28
Winlock,15,18
Winlock,16,16
Winlock,17,19
Winlock,18,12
Winlock,19,9
Winlock,20,10
Winlock,21,10
Winlock,22,9
Winlock,23,17
Winlock,24,12
Winlock,25,16
Winlock,26,12
Winlock,27,7
Winlock,28,13
Winlock,29,7
Winlock,30,9
Winlock,31,11
Winlock,32,14
Winlock,33,16
Winlock,34,7
Winlock,35,17
Winlock,36,15
Winlock,37,11
Winlock,38,17
Winlock,39,17
Winlock,40,14
Winlock,41,20
Winlock,42,16
Winlock,43,14
Winlock,44,12
Winlock,45,14
Winlock,46,12
Winlock,47,18
Winlock,48,7
Winlock,49,13
Winlock,50,9
Winlock,51,11
Winlock,52,11
Winlock,53,7
Winlock,54,7
Winlock,55,9
Winlock,56,15
Winlock,57,17
Winlock,58,17
Winlock,59,10
Winlock,60,19
Winlock,61,10
Winlock,62,34
Winlock,63,14
Winlock,64,9
Winlock,65,19
Winlock,66,20
Winlock,67,13
Winlock,68,13
Winlock,69,8
Winlock,70,17
Winlock,71,16
Winlock,72,17
Winlock,73,18
Winlock,74,21
Winlock,75,23
Winlock,76,7
Winlock,77,12
Winlock,78,11
Winlock,79,19
Winlock,80,5
Winlock,81,6
Winlock,82,4
Winlock,83,3
Winlock,84,6
Winlock,85,6
Winlock,86,1
Winlock,87,3
Winlock,88,2
Winlock,89,1
Winlock,90,1
Winlock,91,4
Winlock,92,1
Winlock,95,1
Winlock,96,1
Winlock,100,1
West Olympia,3,2
West Olympia,4,1
West Olympia,5,5
West Olympia,6,6
West Olympia,7,13
West Olympia,8,2
West Olympia,9,5
West Olympia,10,10
West Olympia,11,5
West Olympia,12,5
West Olympia,13,4
West Olympia,14,8
West Olympia,15,4
West Olympia,16,6
West Olympia,17,8
West Olympia,18,17
West Olympia,19,8
West Olympia,20,7
West Olympia,21,13
West Olympia,22,11
West Olympia,23,17
West Olympia,24,7
West Olympia,25,17
West Olympia,26,14
West Olympia,27,20
West Olympia,28,16
West Olympia,29,12
West Olympia,30,11
West Olympia,31,12
West Olympia,32,13
West Olympia,33,13
West Olympia,34,10
West Olympia,35,6
West Olympia,36,13
West Olympia,37,13
West Olympia,38,14
West Olympia,39,10
West Olympia,40,14
West Olympia,41,14
West Olympia,42,7
West Olympia,43,11
West Olympia,44,7
West Olympia,45,1
West Olympia,46,5
West Olympia,47,5
West Olympia,48,6
West Olympia,49,6
West Olympia,50,4
West Olympia,51,11
West Olympia,52,3
West Olympia,53,9
West Olympia,54,7
West Olympia,55,3
West Olympia,56,7
West Olympia,57,9
West Olympia,58,7
West Olympia,59,8
West Olympia,60,9
West Olympia,61,7
West Olympia,62,10
West Olympia,63,8
West Olympia,64,8
West Olympia,65,9
West Olympia,66,8
West Olympia,67,13
West Olympia,68,14
West Olympia,69,8
West Olympia,70,7
West Olympia,71,6
West Olympia,72,5
West Olympia,73,9
West Olympia,74,8
West Olympia,75,7
West Olympia,76,8
West Olympia,77,9
West Olympia,78,9
West Olympia,79,10
West Olympia,80,6
West Olympia,81,5
West Olympia,82,4
West Olympia,83,3
West Olympia,84,4
West Olympia,85,4
West Olympia,86,3
West Olympia,87,5
West Olympia,88,3
West Olympia,89,1
West Olympia,90,2
West Olympia,91,1
West Olympia,92,1
Yelm,2,9
Yelm,3,40
Yelm,4,54
Yelm,5,306
Yelm,6,321
Yelm,7,150
Yelm,8,132
Yelm,9,141
Yelm,10,122
Yelm,11,132
Yelm,12,129
Yelm,13,140
Yelm,14,159
Yelm,15,144
Yelm,16,134
Yelm,17,109
Yelm,18,69
Yelm,19,54
Yelm,20,48
Yelm,21,41
Yelm,22,45
Yelm,23,35
Yelm,24,55
Yelm,25,58
Yelm,26,49
Yelm,27,64
Yelm,28,59
Yelm,29,82
Yelm,30,83
Yelm,31,94
Yelm,32,94
Yelm,33,73
Yelm,34,75
Yelm,35,94
Yelm,36,94
Yelm,37,104
Yelm,38,80
Yelm,39,82
Yelm,40,68
Yelm,41,86
Yelm,42,55
Yelm,43,53
Yelm,44,62
Yelm,45,50
Yelm,46,59
Yelm,47,56
Yelm,48,49
Yelm,49,52
Yelm,50,53
Yelm,51,55
Yelm,52,40
Yelm,53,42
Yelm,54,44
Yelm,55,49
Yelm,56,41
Yelm,57,48
Yelm,58,44
Yelm,59,66
Yelm,60,49
Yelm,61,48
Yelm,62,54
Yelm,63,48
Yelm,64,49
Yelm,65,55
Yelm,66,53
Yelm,67,49
Yelm,68,64
Yelm,69,72
Yelm,70,41
Yelm,71,57
Yelm,72,58
Yelm,73,39
Yelm,74,44
Yelm,75,29
Yelm,76,29
Yelm,77,29
Yelm,78,27
Yelm,79,20
Yelm,80,17
Yelm,81,18
Yelm,82,12
Yelm,83,9
Yelm,84,9
Yelm,85,3
Yelm,86,7
Yelm,87,7
Yelm,88,4
Yelm,89,4
Yelm,90,4
Yelm,91,5
Yelm,92,3
Yelm,94,1
Yelm,96,1
