Library,Month,Category,Audience,Events,Attendance,ActiveCardholders
South Bend,2,Special Event,Teen (ages 12-18),1,X,88
South Bend,3,DIY & Crafts,All Ages,1,100,545
South Bend,4,DIY & Crafts,All Ages,1,100,545
South Bend,5,DIY & Crafts,All Ages,1,150,545
South Bend,6,DIY & Crafts,All Ages,1,75,545
South Bend,6,"Special Event, STEAM, Arts & Culture, Classes & Workshops, DIY & Crafts","Preschool (ages 3-6), School Age (ages 7-11), Teen (ages 12-18)",1,300,208
South Bend,7,Summer Library Program,"Preschool (ages 3-6), School Age (ages 7-11)",1,105,120
South Bend,8,DIY & Crafts,All Ages,1,150,545
South Bend,9,Special Event,All Ages,1,400,545
South Bend,9,DIY & Crafts,All Ages,1,X,545
South Bend,10,Special Event,All Ages,1,100,545
South Bend,10,Special Event,Teen (ages 12-18),1,14,88
TRL Online Virtual Events,1,Books & Authors,Adult (18 and older),1,5,77752
TRL Online Virtual Events,1,Books & Authors,Adult (18 and older),1,8,77752
TRL Online Virtual Events,1,Arts & Culture,Adult (18 and older),1,10,77752
TRL Online Virtual Events,1,Books & Authors,Adult (18 and older),1,11,77752
TRL Online Virtual Events,1,"Featured, Books & Authors",Adult (18 and older),1,18,77752
TRL Online Virtual Events,1,Arts & Culture,Adult (18 and older),1,24,77752
TRL Online Virtual Events,1,Books & Authors,Adult (18 and older),1,X,77752
TRL Online Virtual Events,1,"Featured, Books & Authors",Adult (18 and older),1,X,77752
TRL Online Virtual Events,1,Classes & Workshops,All Ages,1,X,122431
TRL Online Virtual Events,1,Special Event,All Ages,1,X,122431
TRL Online Virtual Events,1,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture",All Ages,1,X,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",All Ages,1,50,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",All Ages,1,51,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",All Ages,1,83,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",All Ages,1,107,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",All Ages,2,X,122431
TRL Online Virtual Events,1,DIY & Crafts,All Ages,1,X,122431
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,70,180
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,78,180
TRL Online Virtual Events,1,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,87,180
TRL Online Virtual Events,1,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,3,17593
TRL Online Virtual Events,1,STEAM,School Age (ages 7-11),1,8,10005
TRL Online Virtual Events,1,Activities & Games,School Age (ages 7-11),1,10,10005
TRL Online Virtual Events,1,"Activities & Games, Classes & Workshops, Music & Performance",School Age (ages 7-11),1,12,10005
TRL Online Virtual Events,1,"STEAM, Activities & Games, DIY & Crafts",School Age (ages 7-11),1,X,10005
TRL Online Virtual Events,1,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,6,36911
TRL Online Virtual Events,1,"Featured, Activities & Games",Teen (ages 12-18),1,0,26906
TRL Online Virtual Events,1,"Featured, Arts & Culture",Teen (ages 12-18),1,1,26906
TRL Online Virtual Events,1,Books & Authors,Teen (ages 12-18),1,3,26906
TRL Online Virtual Events,1,"Featured, Activities & Games",Teen (ages 12-18),1,4,26906
TRL Online Virtual Events,1,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,5,26906
TRL Online Virtual Events,1,Classes & Workshops,Teen (ages 12-18),1,5,26906
TRL Online Virtual Events,1,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,13,26906
TRL Online Virtual Events,1,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,15,26906
TRL Online Virtual Events,1,Arts & Culture,Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,1,Books & Authors,"Teen (ages 12-18), Adult (18 and older)",1,14,104658
TRL Online Virtual Events,1,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,17,104658
TRL Online Virtual Events,1,Arts & Culture,"Teen (ages 12-18), Adult (18 and older)",1,55,104658
TRL Online Virtual Events,1,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,2,Books & Authors,Adult (18 and older),1,8,77752
TRL Online Virtual Events,2,Books & Authors,Adult (18 and older),2,10,77752
TRL Online Virtual Events,2,"Arts & Culture, Books & Authors",Adult (18 and older),1,12,77752
TRL Online Virtual Events,2,Arts & Culture,Adult (18 and older),1,18,77752
TRL Online Virtual Events,2,"Special Event, Books & Authors",Adult (18 and older),1,42,77752
TRL Online Virtual Events,2,Books & Authors,Adult (18 and older),1,157,77752
TRL Online Virtual Events,2,Featured,Adult (18 and older),1,X,77752
TRL Online Virtual Events,2,Books & Authors,Adult (18 and older),3,X,77752
TRL Online Virtual Events,2,Classes & Workshops,All Ages,1,X,122431
TRL Online Virtual Events,2,Books & Authors,All Ages,1,10,122431
TRL Online Virtual Events,2,Books & Authors,All Ages,1,X,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,44,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,2,50,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,60,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,66,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,80,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,95,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",All Ages,1,X,122431
TRL Online Virtual Events,2,"Special Event, Books & Authors",All Ages,1,X,122431
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,65,180
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,70,180
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,72,180
TRL Online Virtual Events,2,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,90,180
TRL Online Virtual Events,2,Arts & Culture,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 7-11), Teen (ages 12-18)",1,20,44679
TRL Online Virtual Events,2,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,4,17593
TRL Online Virtual Events,2,STEAM,School Age (ages 7-11),1,4,10005
TRL Online Virtual Events,2,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,12,36911
TRL Online Virtual Events,2,"Arts & Culture, Music & Performance","School Age (ages 7-11), Teen (ages 12-18), Adult (18 and older)",1,22,1114663
TRL Online Virtual Events,2,"Featured, Arts & Culture",Teen (ages 12-18),1,1,26906
TRL Online Virtual Events,2,Books & Authors,Teen (ages 12-18),1,1,26906
TRL Online Virtual Events,2,"Featured, Activities & Games",Teen (ages 12-18),1,3,26906
TRL Online Virtual Events,2,"Featured, Activities & Games",Teen (ages 12-18),1,4,26906
TRL Online Virtual Events,2,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,11,26906
TRL Online Virtual Events,2,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,13,26906
TRL Online Virtual Events,2,Classes & Workshops,Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,2,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,X,26906
TRL Online Virtual Events,2,Classes & Workshops,"Teen (ages 12-18), Adult (18 and older)",1,15,104658
TRL Online Virtual Events,2,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,2,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,2,STEAM,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),1,4,77752
TRL Online Virtual Events,3,Classes & Workshops,Adult (18 and older),1,5,77752
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),1,5,77752
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),1,6,77752
TRL Online Virtual Events,3,Classes & Workshops,Adult (18 and older),1,6,77752
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),1,9,77752
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),1,10,77752
TRL Online Virtual Events,3,Arts & Culture,Adult (18 and older),1,19,77752
TRL Online Virtual Events,3,"Featured, Special Event, Classes & Workshops",Adult (18 and older),1,19,77752
TRL Online Virtual Events,3,Books & Authors,Adult (18 and older),2,X,77752
TRL Online Virtual Events,3,Books & Authors,All Ages,1,16,122431
TRL Online Virtual Events,3,Arts & Culture,All Ages,1,X,122431
TRL Online Virtual Events,3,Classes & Workshops,All Ages,1,X,122431
TRL Online Virtual Events,3,Special Event,All Ages,1,18,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,1,39,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,1,45,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,1,55,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,2,80,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,1,85,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",All Ages,2,X,122431
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,71,180
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,82,180
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,88,180
TRL Online Virtual Events,3,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),2,X,180
TRL Online Virtual Events,3,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,X,17593
TRL Online Virtual Events,3,STEAM,School Age (ages 7-11),1,5,10005
TRL Online Virtual Events,3,Books & Authors,School Age (ages 7-11),1,11,10005
TRL Online Virtual Events,3,"STEAM, DIY & Crafts",School Age (ages 7-11),1,X,10005
TRL Online Virtual Events,3,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,7,36911
TRL Online Virtual Events,3,"Featured, Arts & Culture",Teen (ages 12-18),1,2,26906
TRL Online Virtual Events,3,"Featured, Activities & Games",Teen (ages 12-18),1,2,26906
TRL Online Virtual Events,3,Books & Authors,Teen (ages 12-18),1,3,26906
TRL Online Virtual Events,3,"Featured, Activities & Games",Teen (ages 12-18),1,4,26906
TRL Online Virtual Events,3,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,9,26906
TRL Online Virtual Events,3,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,15,26906
TRL Online Virtual Events,3,DIY & Crafts,Teen (ages 12-18),1,23,26906
TRL Online Virtual Events,3,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,X,26906
TRL Online Virtual Events,3,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,3,104658
TRL Online Virtual Events,3,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,15,104658
TRL Online Virtual Events,3,Books & Authors,"Teen (ages 12-18), Adult (18 and older)",1,38,104658
TRL Online Virtual Events,3,Classes & Workshops,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,3,STEAM,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,3,Books & Authors,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,3,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,4,Books & Authors,Adult (18 and older),2,3,77752
TRL Online Virtual Events,4,Books & Authors,Adult (18 and older),1,7,77752
TRL Online Virtual Events,4,Books & Authors,Adult (18 and older),2,8,77752
TRL Online Virtual Events,4,"Arts & Culture, Books & Authors",Adult (18 and older),1,9,77752
TRL Online Virtual Events,4,Arts & Culture,Adult (18 and older),1,21,77752
TRL Online Virtual Events,4,"Featured, Special Event, Arts & Culture, Books & Authors, Music & Performance",Adult (18 and older),1,X,77752
TRL Online Virtual Events,4,Books & Authors,Adult (18 and older),2,X,77752
TRL Online Virtual Events,4,Arts & Culture,Adult (18 and older),1,X,77752
TRL Online Virtual Events,4,Classes & Workshops,Adult (18 and older),1,X,77752
TRL Online Virtual Events,4,Books & Authors,All Ages,1,X,122431
TRL Online Virtual Events,4,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture",All Ages,1,X,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,16,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,22,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,31,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,32,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,44,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,45,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,1,60,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",All Ages,2,X,122431
TRL Online Virtual Events,4,"STEAM, Arts & Culture, DIY & Crafts",All Ages,1,2,122431
TRL Online Virtual Events,4,DIY & Crafts,All Ages,1,X,122431
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,51,180
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,52,180
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,54,180
TRL Online Virtual Events,4,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,60,180
TRL Online Virtual Events,4,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,16,7768
TRL Online Virtual Events,4,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,19,7768
TRL Online Virtual Events,4,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,20,7768
TRL Online Virtual Events,4,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,21,7768
TRL Online Virtual Events,4,Activities & Games,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 7-11)",1,8,17773
TRL Online Virtual Events,4,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,5,17593
TRL Online Virtual Events,4,STEAM,School Age (ages 7-11),1,3,10005
TRL Online Virtual Events,4,"Activities & Games, Music & Performance",School Age (ages 7-11),1,X,10005
TRL Online Virtual Events,4,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,X,36911
TRL Online Virtual Events,4,"Arts & Culture, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,X,36911
TRL Online Virtual Events,4,"Featured, Arts & Culture",Teen (ages 12-18),1,0,26906
TRL Online Virtual Events,4,"Featured, Activities & Games",Teen (ages 12-18),1,0,26906
TRL Online Virtual Events,4,Books & Authors,Teen (ages 12-18),1,0,26906
TRL Online Virtual Events,4,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,2,26906
TRL Online Virtual Events,4,"Featured, Activities & Games",Teen (ages 12-18),1,2,26906
TRL Online Virtual Events,4,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,3,26906
TRL Online Virtual Events,4,Activities & Games,Teen (ages 12-18),1,5,26906
TRL Online Virtual Events,4,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,X,26906
TRL Online Virtual Events,4,Classes & Workshops,Teen (ages 12-18),2,X,26906
TRL Online Virtual Events,4,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,1,104658
TRL Online Virtual Events,4,"Special Event, Classes & Workshops","Teen (ages 12-18), Adult (18 and older)",1,10,104658
TRL Online Virtual Events,4,Books & Authors,"Teen (ages 12-18), Adult (18 and older)",1,15,104658
TRL Online Virtual Events,4,Featured,"Teen (ages 12-18), Adult (18 and older)",1,38,104658
TRL Online Virtual Events,4,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,5,Books & Authors,Adult (18 and older),2,5,77752
TRL Online Virtual Events,5,Books & Authors,Adult (18 and older),1,9,77752
TRL Online Virtual Events,5,Classes & Workshops,Adult (18 and older),1,21,77752
TRL Online Virtual Events,5,Arts & Culture,Adult (18 and older),1,22,77752
TRL Online Virtual Events,5,Featured,Adult (18 and older),1,23,77752
TRL Online Virtual Events,5,Books & Authors,Adult (18 and older),4,X,77752
TRL Online Virtual Events,5,Books & Authors,All Ages,1,X,122431
TRL Online Virtual Events,5,"Featured, Summer Library Program",All Ages,1,X,122431
TRL Online Virtual Events,5,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture, Books & Authors",All Ages,1,X,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,7,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,10,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,20,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,22,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,23,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,35,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,48,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,62,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",All Ages,1,X,122431
TRL Online Virtual Events,5,Summer Library Program,All Ages,1,X,122431
TRL Online Virtual Events,5,"Featured, Special Event, Early Learning & Storytime, Arts & Culture, Books & Authors",All Ages,1,60,122431
TRL Online Virtual Events,5,Activities & Games,All Ages,1,6,122431
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,42,180
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,50,180
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,54,180
TRL Online Virtual Events,5,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),1,X,180
TRL Online Virtual Events,5,Activities & Games,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 7-11)",1,11,17773
TRL Online Virtual Events,5,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,6,17593
TRL Online Virtual Events,5,STEAM,School Age (ages 7-11),1,0,10005
TRL Online Virtual Events,5,STEAM,School Age (ages 7-11),1,X,10005
TRL Online Virtual Events,5,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,2,36911
TRL Online Virtual Events,5,"Featured, Arts & Culture",Teen (ages 12-18),1,1,26906
TRL Online Virtual Events,5,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,1,26906
TRL Online Virtual Events,5,"Featured, Activities & Games",Teen (ages 12-18),2,2,26906
TRL Online Virtual Events,5,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,3,26906
TRL Online Virtual Events,5,Activities & Games,Teen (ages 12-18),1,4,26906
TRL Online Virtual Events,5,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,9,26906
TRL Online Virtual Events,5,Classes & Workshops,Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,5,Books & Authors,Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,5,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,5,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,1,104658
TRL Online Virtual Events,5,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,10,104658
TRL Online Virtual Events,5,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,6,Books & Authors,Adult (18 and older),1,2,77752
TRL Online Virtual Events,6,Books & Authors,Adult (18 and older),3,5,77752
TRL Online Virtual Events,6,DIY & Crafts,Adult (18 and older),1,5,77752
TRL Online Virtual Events,6,"Arts & Culture, Books & Authors",Adult (18 and older),1,9,77752
TRL Online Virtual Events,6,Featured,Adult (18 and older),1,14,77752
TRL Online Virtual Events,6,Arts & Culture,Adult (18 and older),1,14,77752
TRL Online Virtual Events,6,"Arts & Culture, Books & Authors",Adult (18 and older),1,X,77752
TRL Online Virtual Events,6,Books & Authors,Adult (18 and older),1,X,77752
TRL Online Virtual Events,6,Books & Authors,All Ages,1,12,122431
TRL Online Virtual Events,6,"Summer Library Program, Arts & Culture, Music & Performance",All Ages,1,X,122431
TRL Online Virtual Events,6,"Featured, Summer Library Program",All Ages,1,X,122431
TRL Online Virtual Events,6,"Summer Library Program, STEAM, Arts & Culture, DIY & Crafts",All Ages,1,47,122431
TRL Online Virtual Events,6,"Featured, Special Event, Summer Library Program",All Ages,1,X,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,8,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,12,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,2,15,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,32,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,42,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,45,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,46,122431
TRL Online Virtual Events,6,Summer Library Program,All Ages,1,50,122431
TRL Online Virtual Events,6,Summer Library Program,All Ages,1,X,122431
TRL Online Virtual Events,6,"Special Event, Summer Library Program, Arts & Culture",All Ages,1,X,122431
TRL Online Virtual Events,6,Summer Library Program,All Ages,1,X,122431
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),1,22,180
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),1,30,180
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),1,32,180
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),2,X,180
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,13,7768
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,16,7768
TRL Online Virtual Events,6,"Featured, Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6)",1,20,7768
TRL Online Virtual Events,6,Activities & Games,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 7-11)",1,15,17773
TRL Online Virtual Events,6,Summer Library Program,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 7-11)",1,X,17773
TRL Online Virtual Events,6,Activities & Games,"Preschool (ages 3-6), School Age (ages 7-11)",1,3,17593
TRL Online Virtual Events,6,"Summer Library Program, STEAM, DIY & Crafts","Preschool (ages 3-6), School Age (ages 7-11)",1,15,17593
TRL Online Virtual Events,6,"Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 7-11)",1,16,17593
TRL Online Virtual Events,6,"Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 7-11)",1,60,17593
TRL Online Virtual Events,6,Summer Library Program,"Preschool (ages 3-6), School Age (ages 7-11)",1,X,17593
TRL Online Virtual Events,6,"Special Event, STEAM, Arts & Culture, Classes & Workshops, DIY & Crafts","Preschool (ages 3-6), School Age (ages 7-11)",1,X,17593
TRL Online Virtual Events,6,Books & Authors,School Age (ages 7-11),1,1,10005
TRL Online Virtual Events,6,STEAM,School Age (ages 7-11),1,5,10005
TRL Online Virtual Events,6,"Summer Library Program, STEAM",School Age (ages 7-11),1,11,10005
TRL Online Virtual Events,6,"Featured, Activities & Games, Books & Authors","School Age (ages 7-11), Teen (ages 12-18)",1,X,36911
TRL Online Virtual Events,6,DIY & Crafts,Teen (ages 12-18),1,0,26906
TRL Online Virtual Events,6,"Featured, Activities & Games",Teen (ages 12-18),1,2,26906
TRL Online Virtual Events,6,"Summer Library Program, Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,4,26906
TRL Online Virtual Events,6,Activities & Games,Teen (ages 12-18),1,6,26906
TRL Online Virtual Events,6,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,13,26906
TRL Online Virtual Events,6,"Summer Library Program, Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,6,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,X,26906
TRL Online Virtual Events,6,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,2,104658
TRL Online Virtual Events,6,"Summer Library Program, Arts & Culture, DIY & Crafts","Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,6,Activities & Games,"Teen (ages 12-18), Adult (18 and older)",1,X,104658
TRL Online Virtual Events,7,DIY & Crafts,Adult (18 and older),1,0,77752
TRL Online Virtual Events,7,Books & Authors,Adult (18 and older),1,3,77752
TRL Online Virtual Events,7,Books & Authors,Adult (18 and older),1,4,77752
TRL Online Virtual Events,7,Books & Authors,Adult (18 and older),2,5,77752
TRL Online Virtual Events,7,Arts & Culture,Adult (18 and older),1,16,77752
TRL Online Virtual Events,7,"Arts & Culture, Books & Authors",Adult (18 and older),1,X,77752
TRL Online Virtual Events,7,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture, Books & Authors",All Ages,1,X,122431
TRL Online Virtual Events,7,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture",All Ages,1,X,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,11,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,12,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,14,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,15,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,17,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,25,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,36,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,1,40,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",All Ages,2,X,122431
TRL Online Virtual Events,7,Summer Library Program,All Ages,1,50,122431
TRL Online Virtual Events,7,"Summer Library Program, STEAM",All Ages,1,26,122431
TRL Online Virtual Events,7,Book Sale,All Ages,2,X,122431
TRL Online Virtual Events,7,"Featured, Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),1,20,180
